gu_devnagari_it_ml_devnagari_it_ta_devnagari_it_te_devnagari_it_ml_it,gu_devnagari_it_ml_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,hi_translit_it_ml_it,ml_translit_it_hi_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_ml_it,hi_translit_it_hi_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_hi_it,hi_it_ml_it_ta_it_te_it_gu_it_ml_it,hi_it_ml_it
0.04932,0.1628,0.1924,0.2406,0.2126,0.1,0.3186,0.267,0.03824,0.2507
0.0499,0.162,0.1912,0.2386,0.2117,0.0991,0.317,0.2668,0.03827,0.25
0.0502,0.1604,0.191,0.2375,0.211,0.098,0.316,0.2668,0.0383,0.2461
0.0503,0.1606,0.1913,0.2375,0.2113,0.09827,0.3162,0.2668,0.03833,0.2455
0.05026,0.1576,0.1896,0.2345,0.21,0.097,0.3145,0.2664,0.03818,0.2368
0.04587,0.1357,0.187,0.2295,0.2052,0.09143,0.3088,0.2644,0.0364,0.2119
0.04492,0.1282,0.185,0.2258,0.2028,0.0888,0.3064,0.2634,0.03586,0.2045
0.04532,0.1302,0.1876,0.2283,0.2048,0.09143,0.3047,0.265,0.03598,0.2045
0.0451,0.1257,0.1884,0.228,0.2042,0.0913,0.3037,0.267,0.03555,0.1959
0.04166,0.10815,0.1837,0.2118,0.1964,0.0856,0.287,0.256,0.03262,0.1605
0.03796,0.09216,0.1744,0.1914,0.1835,0.07605,0.276,0.2472,0.03107,0.1356
0.0367,0.0862,0.1713,0.1831,0.1788,0.07336,0.2717,0.2439,0.03047,0.1271
0.0344,0.07776,0.1608,0.1637,0.1649,0.0658,0.263,0.2367,0.02963,0.11237
0.03305,0.0724,0.1503,0.1481,0.1521,0.05966,0.2515,0.2266,0.029,0.102
0.02512,0.05554,0.0987,0.1008,0.09985,0.0438,0.2079,0.1638,0.02419,0.074
0.02167,0.0435,0.0592,0.0766,0.06207,0.03314,0.1581,0.09686,0.02167,0.0592
0.0182,0.02946,0.02527,0.03934,0.03116,0.02316,0.0746,0.0312,0.01851,0.0347
0.01677,0.02222,0.01772,0.0225,0.02147,0.01852,0.02084,0.012146,0.01627,0.02359
0.0165,0.01913,0.01657,0.01831,0.01926,0.01743,0.01524,0.011086,0.01608,0.02032
0.01628,0.01778,0.01552,0.01707,0.01749,0.01675,0.01205,0.00961,0.01576,0.01814
0.01616,0.01643,0.014404,0.01463,0.01619,0.01614,0.00903,0.00877,0.01567,0.016
0.0161,0.01622,0.014336,0.01442,0.01613,0.01608,0.008995,0.00888,0.01566,0.01585
0.0161,0.0162,0.01431,0.01441,0.01611,0.01607,0.008995,0.00891,0.01567,0.01587
0.01608,0.0162,0.01431,0.014404,0.0161,0.01605,0.00896,0.00888,0.01564,0.01588
0.01608,0.0161,0.014275,0.01431,0.01605,0.01604,0.00876,0.00874,0.01564,0.01573
0.01608,0.01608,0.01427,0.01431,0.01605,0.01604,0.00877,0.00877,0.01564,0.01572
0.01608,0.0161,0.01426,0.01429,0.01605,0.01604,0.00874,0.00874,0.01564,0.01566
0.01608,0.01608,0.014275,0.0143,0.01605,0.01604,0.00872,0.00873,0.01564,0.01567
0.01608,0.01608,0.014275,0.01428,0.01604,0.01604,0.00875,0.00874,0.01564,0.01566
0.01607,0.01608,0.01426,0.01427,0.01604,0.01605,0.008766,0.00875,0.01564,0.01566
0.01607,0.01608,0.01427,0.01427,0.01604,0.01604,0.00875,0.00876,0.01564,0.01564
0.01607,0.01607,0.01423,0.01423,0.01602,0.01602,0.00875,0.00875,0.01563,0.01563
