hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,hi_translit_it_ml_it,ml_translit_it_hi_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_ml_it,hi_translit_it_hi_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_hi_it,hi_it_ml_it_ta_it_te_it_gu_it_ml_it,hi_it_ml_it,gu_devnagari_it_ml_it,gu_devnagari_it_ml_devnagari_it_ta_devnagari_it_te_devnagari_it_ml_it
0.803,0.727,0.7876,0.5054,0.76,0.809,0.888,0.855,0.5674,0.5493
0.8027,0.7246,0.786,0.5063,0.7583,0.809,0.888,0.854,0.5664,0.5483
0.8027,0.7246,0.786,0.5063,0.758,0.809,0.8877,0.8545,0.566,0.548
0.8003,0.715,0.7847,0.506,0.7544,0.8105,0.885,0.8438,0.5605,0.544
0.8003,0.714,0.785,0.506,0.754,0.8105,0.885,0.8438,0.56,0.544
0.8,0.7134,0.785,0.5054,0.7534,0.8105,0.8833,0.838,0.5596,0.542
0.7964,0.7036,0.7725,0.5024,0.7505,0.8096,0.8716,0.8066,0.552,0.5283
0.7944,0.6987,0.7686,0.4976,0.738,0.809,0.8623,0.792,0.543,0.5186
0.787,0.6763,0.7495,0.4736,0.7295,0.8066,0.8296,0.7095,0.515,0.48
0.787,0.677,0.7495,0.4734,0.729,0.806,0.829,0.7075,0.5146,0.4797
0.7803,0.66,0.7344,0.4412,0.721,0.807,0.789,0.664,0.4973,0.46
0.7783,0.6587,0.732,0.437,0.7207,0.8066,0.7803,0.658,0.4927,0.4517
0.776,0.6577,0.7305,0.4324,0.7217,0.806,0.7705,0.651,0.4878,0.4475
0.768,0.6562,0.729,0.4265,0.721,0.8066,0.7627,0.6475,0.4795,0.444
0.721,0.6387,0.663,0.3618,0.718,0.7935,0.6772,0.5806,0.4167,0.3523
0.714,0.6353,0.65,0.3523,0.717,0.7886,0.6816,0.581,0.4116,0.3315
0.673,0.6157,0.593,0.3188,0.7114,0.772,0.63,0.542,0.3877,0.287
0.6626,0.613,0.5854,0.3135,0.709,0.771,0.6177,0.531,0.388,0.2803
0.6084,0.576,0.521,0.28,0.6943,0.758,0.5635,0.4924,0.3635,0.2323
0.555,0.541,0.4607,0.253,0.6772,0.74,0.5063,0.4507,0.3357,0.1914
0.53,0.5117,0.4329,0.2466,0.6646,0.7217,0.48,0.4153,0.3262,0.1693
0.452,0.4531,0.3499,0.212,0.6484,0.6865,0.386,0.3525,0.2874,0.1283
0.4355,0.4387,0.3362,0.2069,0.6406,0.6855,0.3718,0.3357,0.2676,0.1236
0.2732,0.3147,0.258,0.1588,0.572,0.595,0.2727,0.2458,0.2079,0.0845
0.2542,0.3066,0.2396,0.1508,0.569,0.579,0.2646,0.2463,0.2068,0.0824
0.05505,0.0857,0.0536,0.04153,0.1947,0.1109,0.05447,0.06976,0.03296,0.0007124
0.01505,0.02652,0.014595,0.01166,0.05862,0.037,0.01593,0.02039,0.005085,2.736e-05
0.012825,0.02525,0.01198,0.006596,0.04645,0.03017,0.00683,0.006042,0.004433,2.307e-05
0.0003457,0.003063,2.265e-05,1.42e-05,0.00938,0.00493,0.0002694,0.0002208,1.603e-05,1.27e-05
2.33e-05,5.58e-05,1.425e-05,1.276e-05,0.00409,0.002626,4.524e-05,5.77e-05,1.54e-05,1.32e-05
1.58e-05,1.794e-05,1.216e-05,1.2e-05,0.000643,0.0001736,2.47e-05,3.004e-05,1.204e-05,1.09e-05
1.49e-05,1.603e-05,1.365e-05,1.34e-05,0.0001516,7.24e-05,2.724e-05,2.986e-05,1.484e-05,1.395e-05
1.42e-05,1.5e-05,1.365e-05,1.353e-05,0.00010335,6.98e-05,2.53e-05,2.617e-05,1.8e-05,1.77e-05
1.204e-05,1.27e-05,1.3e-05,1.293e-05,9.143e-05,8.357e-05,2.295e-05,2.325e-05,1.83e-05,1.806e-05
1.19e-05,1.216e-05,1.305e-05,1.305e-05,8.76e-05,8.96e-05,2.325e-05,2.39e-05,2.086e-05,2.02e-05
1.19e-05,1.22e-05,1.305e-05,1.293e-05,9.084e-05,9.36e-05,2.337e-05,2.33e-05,2.456e-05,2.42e-05
1.21e-05,1.216e-05,1.305e-05,1.3e-05,8.345e-05,8.47e-05,2.235e-05,2.205e-05,2.59e-05,2.54e-05
1.186e-05,1.22e-05,1.28e-05,1.276e-05,8.41e-05,8.255e-05,2.25e-05,2.134e-05,2.42e-05,2.396e-05
1.25e-05,1.264e-05,1.29e-05,1.276e-05,7.65e-05,7.53e-05,2.18e-05,2.19e-05,2.414e-05,2.39e-05
1.264e-05,1.276e-05,1.293e-05,1.293e-05,7.707e-05,7.653e-05,2.18e-05,2.15e-05,2.486e-05,2.4e-05
1.26e-05,1.246e-05,1.293e-05,1.29e-05,7.52e-05,7.516e-05,2.176e-05,2.14e-05,2.45e-05,2.42e-05
1.24e-05,1.24e-05,1.29e-05,1.29e-05,7.5e-05,7.5e-05,2.205e-05,2.205e-05,2.456e-05,2.456e-05
