fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu,ml_devnagari,ta_devnagari,te_devnagari,gu_devnagari
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['पुस्तक', 'किताब', 'ग्रंथ', 'पोथी', 'साहित्य']",book,['libro'],"['pustak', 'kitab', 'granth', 'pothi', 'saahitya']","['pusthakam', 'grandham', 'paatapusthakam', 'kidapidi', 'gramdham']","['puththagam', 'nool', 'aedu', 'thoguthi', 'katturai']","['pustakam', 'grandham', 'potham', 'noolu', 'rachana']","['pustak', 'granth', 'pothee', 'kitaab', 'dharmpustak']","['പുസ്തകം', 'ഗ്രന്ഥം', 'പാഠപുസ്തകം', 'കിടപിടി', 'ഗ്രംഥം']","['புத்தகம்', 'நூல்', 'ஏடு', 'தொகுதி', 'கட்டுரை']","['పుస్తకం', 'గ్రంథం', 'పోతం', 'నూలు', 'రచన']","['પુસ્તક', 'ગ્રંથ', 'પોથી', 'કિતાબ', 'ધર્મપુસ્તક']","['पुस्तकम', 'ग्रैंडहैम', 'पातपुस्तकम', 'किडापीड़ी', 'ग्रामधाम']","['पुठ्ठगम', 'नूल', 'एडू', 'थोगुथी', 'कट्टुराई']","['पुस्तकम', 'ग्रैंडहैम', 'पोथम', 'नूलू', 'रचना']","['पुस्तक', 'ग्रंथ', 'पोथी', 'किताब', 'धर्मपुस्तक']"
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['बादल', 'मेघ', 'अभ्र', 'जलवाष्प', 'वायुमंडल']",cloud,"['nube', 'nuvola', 'nembo']","['baadal', 'megh', 'abhr', 'jalvaashp', 'vayumandal']","['megham', 'meghaavritham', 'abhram', 'jalaavritham', 'vaatham']","['maegam', 'vaanam', 'mugil', 'vaanmathi', 'thugil']","['megham', 'abhram', 'jalaavartam', 'vaataavaranam', 'ashramam']","['vaadad', 'abra', 'megh', 'zakol', 'dhoomra']","['മേഘം', 'മേഘാവൃതം', 'അഭ്രം', 'ജലാവൃതം', 'വാതം']","['மேகம்', 'வானம்', 'முகில்', 'வான்மதி', 'துகில்']","['మేఘం', 'అభ్రం', 'జలావర్తం', 'వాతావరణం', 'అశ్రమం']","['વાદળ', 'અબ્ર', 'મેઘ', 'ઝકોળ', 'ધૂમ્ર']","['मेघम', 'मेघावृतम', 'अभ्रम', 'जलावृथम', 'वाथम']","['मैगम', 'वानम', 'मुगिल', 'वानमाथि', 'थुगिल']","['मेघम', 'अभ्रम', 'जलावर्तम', 'वातावरणम', 'आश्रमम']","['वादद', 'अब्रा', 'मेघ', 'ज़कोल', 'धूमरा']"
"['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'valise', 'valoche']","['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Reisekoffer', 'Koffer', 'Reisetasche']","['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'чемодан', 'чемода́н']","['bag', 'purse', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'case', 'suitcase', 'traveling bag', 'travelling bag', 'grip']","['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '手提箱', '行李箱', '皮箱', '衣箱']","['bolso', 'cartera', 'bulto', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'valija', 'maleta', 'petaca', 'bolsa de viaje', 'mala']","['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'スーツケース', 'トランク']","['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '여행 가방', '트렁크', '슈트케이스']","['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott', 'kohver']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'matkalaukku', 'matkakassi']","['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil', 'koffer', 'valies']","['थैला', 'बैग', 'झोला', 'पोटली', 'पर्स']",bag,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'valiggia', 'valigia', 'bagaglio']","['thaila', 'bagg', 'jholaa', 'potli', 'purses']","['sanchi', 'puttha', 'katta', 'paisa', 'petti']","['paii', 'santhanappai', 'kaippai', 'paathiram', 'petti']","['sanchi', 'belt', 'paiki', 'kande', 'potlam']","['bagg', 'thaili', 'petaa', 'boriyo', 'panjari']","['സഞ്ചി', 'പുത്ത', 'കട്ട', 'പൈസ', 'പെട്ടി']","['பை', 'சந்தனப்பை', 'கைப்பை', 'பாத்திரம்', 'பெட்டி']","['సంచి', 'బెల్ట్', 'పైకి', 'కండె', 'పొట్లం']","['બેગ', 'થૈલી', 'પેટા', 'બોરિયો', 'પંજરી']","['सांची', 'पुट्ठा', 'कट्टा', 'पैसा', 'पेट्टी']","['पाई', 'संथानप्पई', 'कैप्पई', 'पाथीराम', 'पेट्टी']","['सांची', 'बेल्ट', 'पैकी', 'कांडे', 'पोटलाम']","['बैग', 'थैली', 'पेटा', 'बोरियो', 'पंजरी']"
['montagne'],['Berg'],['гора'],"['mountain', 'mount']","['山', '山脉', '高山', '大山']","['montaña', 'monte']","['山岳', '山']",['산'],['mägi'],['vuori'],['berg'],"['पर्वत', 'पहाड़', 'शिखर', 'गिरि', 'क्षितिज']",mountain,"['montagna', 'monte']","['parvat', 'pahaad', 'shikhar', 'giri', 'kshitij']","['kodumudi', 'malaa', 'parvatham', 'kunnu', 'parvvatham']","['malai', 'kundru', 'parvatham', 'adukku', 'malaitthittu']","['konda', 'parvatam', 'sikharam', 'aalayam', 'addam']","['parvat', 'giri', 'shikhar', 'qota', 'pahaad']","['കൊടുമുടി', 'മല', 'പർവതം', 'കുന്ന്', 'പർവ്വതം']","['மலை', 'குன்று', 'பர்வதம்', 'அடுக்கு', 'மலைத்திட்டு']","['కొండ', 'పర్వతం', 'శిఖరం', 'ఆలయం', 'అద్దం']","['પર્વત', 'ગિરિ', 'શિખર', 'કોટ', 'પહાડ']","['कोडुमुडी', 'मला', 'पर्वथम', 'कुन्नू', 'पर्व्वथम']","['मलाई', 'कुंदरू', 'पर्वथम', 'अदुक्कू', 'मलैत्थित्तु']","['कोंडा', 'पर्वतम', 'सिखाराम', 'आलयम', 'अद्दम']","['पर्वत', 'गिरी', 'शिखर', 'कोटा', 'पहाड़']"
"['textile', 'étoffe', 'tissu']","['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['cloth', 'fabric', 'textile', 'material']","['紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物']","['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']","['布', '織物']","['직물', '옷감']","['tekstiil', 'riie', 'kangas']","['tekstiili', 'kangas', 'kudos', 'materiaali']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'वस्त्र', 'कपड़ा', 'लहंगा', 'परिधान']",cloth,"['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']","['kapada', 'vastra', 'kapada', 'lahanga', 'paridhan']","['thuni', 'vasthram', 'aadai', 'putt', 'kambili']","['thuni', 'aadai', 'pattu', 'thugil', 'paruththi']","['batta', 'vastram', 'kaavi', 'kampu', 'vastramu']","['kaapad', 'vastra', 'lugada', 'patolu', 'vaastra']","['തുണി', 'വസ്ത്രം', 'ആടൈ', 'പട്ട്', 'കമ്പിളി']","['துணி', 'ஆடை', 'பட்டு', 'துகில்', 'பருத்தி']","['బట్ట', 'వస్త్రం', 'కావి', 'కంపు', 'వస్త్రము']","['કાપડ', 'વસ્ત્ર', 'લુગડા', 'પટોળું', 'વાસ્ત્ર']","['थुनी', 'वस्थराम', 'आदै', 'पुट', 'कंबिली']","['थुनी', 'आदै', 'पट्टू', 'थुगिल', 'परुठ्ठी']","['बट्टा', 'वस्त्रम', 'कावी', 'कम्पू', 'वस्त्रमु']","['कापड़', 'वस्त्र', 'लुगाडा', 'पटोलू', 'वास्त्र']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia', 'centre']","['Herz', 'Philia', 'Affektion', 'Zuneigung']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio', 'eye', 'center', 'centre', 'middle']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感', '中间', '中心', '中心点', '中央']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño', 'centro', 'ojo', 'medio']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous', 'keskusta', 'keskus', 'silmä', 'keskipiste']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid', 'kern']","['हृदय', 'दिल', 'मन', 'आत्मा', 'सीना']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore', 'centro', 'mezzo']","['hriday', 'dill', 'munn', 'aatma', 'seena']","['hridayam', 'hridayam', 'manass', 'chittham', 'manoharam']","['idhayam', 'ullam', 'manam', 'agam', 'siththam']","['hrudayam', 'manasu', 'gunde', 'hrudayakavacham', 'manodhairyam']","['hraday', 'deel', 'munn', 'aatama', 'heta']","['ഹൃദയം', 'ഹൃദയം', 'മനസ്സ്', 'ചിത്തം', 'മനോഹരം']","['இதயம்', 'உள்ளம்', 'மனம்', 'அகம்', 'சித்தம்']","['హృదయం', 'మనసు', 'గుండె', 'హృదయకవచం', 'మనోధైర్యం']","['હૃદય', 'દિલ', 'મન', 'આતમા', 'હેત']","['हृदयम्', 'हृदयम्', 'मानस', 'चिट्ठम', 'मनोहरम']","['इधायम', 'उल्लम', 'मनम', 'अगम', 'सिथ्थम']","['हृदयम्', 'मनासु', 'गुंडे', 'हृदयकवचम', 'मनोधैर्यम्']","['ह्रदय', 'डील', 'मुन', 'आतमा', 'हेता']"
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['day', 'twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']","['दिन', 'दिवस', 'दिनमान', 'अवसर', 'समय']",day,"['giorno', ""ventiquattr'ore""]","['dinn', 'divas', 'dinman', 'avsar', 'samay']","['divasam', 'dinam', 'pakal', 'naal', 'velicham']","['naall', 'thinam', 'pakal', 'thivasam', 'thinam']","['roeju', 'dinamu', 'pagalu', 'divasamu', 'velugu']","['divas', 'daadिन', 'vasa', 'saveett', 'dainik']","['ദിവസം', 'ദിനം', 'പകൽ', 'നാൾ', 'വെളിച്ചം']","['நாள்', 'தினம்', 'பகல்', 'திவசம்', 'தினம்']","['రోజు', 'దినము', 'పగలు', 'దివసము', 'వెలుగు']","['દિવસ', 'દिन', 'વસ', 'સવિત્ત', 'દૈનિક']","['दिवसम', 'दिनम', 'पकल', 'नाल', 'वेलिचम']","['नाल', 'थिनम', 'पकल', 'थिवासम', 'थिनम']","['रोएजू', 'दिनामु', 'पगलू', 'दिवसामु', 'वेलुगु']","['दिवस', 'दादिन', 'वासा', 'सवीत्त', 'दैनिक']"
"['étoile', 'astérisque', 'superstar', 'spécialiste', 'vedette', 'connaisseur', 'as', 'machine', 'expert', 'champion', 'Maven', 'virtuose', 'génie', 'bête', 'effet superstar', 'sommité']","['Stern', 'Sonne', 'Fixstern', 'Sternchen', 'Superstar', 'Expertin', 'Promi', 'Kennerin', 'Adept', 'Prominenter', 'Prominente', 'Experte', 'Kenner', 'Maven', 'Wunder-', 'Meister']","['звезда', 'звезда́', 'звёздочка', 'специали́стка', 'ма́стер', 'до́ка', 'адепт', 'уме́лица', 'экспе́рт', 'знато́к', 'суперзвезда́', 'уме́лец', 'специали́ст', 'суперзвезда', 'Maven', 'спец', 'Суперзвезда']","['star', 'asterisk', 'superstar', 'maven', 'intenditore', 'wiz', 'champion', 'whiz', 'mavin', 'hotshot', 'wizard', 'adept', 'genius', 'ace', 'virtuoso', 'sensation', 'whizz', 'Maven', 'principal', 'lead']","['星', '恒星', '恆星', '母恒星', '星號', '星号', '星章', '星标', '星形', '星形物', '超级明星', '超級明星', '专家', '超天才', '好手', '行家', '高手', '天才人物', '天才', '精明的人', '能手', '專家', 'Maven', '熟練的人', '明星', '熟练的人', '巨星']","['estrella', 'astro', 'asterisco', 'superestrella', 'entendida', 'entendido', 'Adepto', 'adepto', 'Maven', 'experta', 'experto', 'diestro', 'crack', 'asistente', 'virtuoso', 'ducho', 'genio', 'maven', 'mavin', 'as', 'wiz', 'hacha', 'artista', 'protagonista']","['恒星', '星', '母恒星', 'アスタリスク', '星印', 'スーパースター', '著名人', '花形', '有名人', '大物', 'アデプト', 'メイヴン', '主演', '主役']","['별', '항성', '외계 행성 주인별', '별표', '슈퍼스타', '유명인', '스타', '메이븐', '마벤']","['täht', 'tärn', '*', 'Täht', 'superstaar', 'sepp', 'talent', 'adept', 'staar', 'Adept', 'kuulsus', 'filmitäht', 'lavatäht']","['tähti', 'kiintotähti', 'asteriski', 'tähtimerkki', '-niekka', 'supertähti', 'ekspertti', 'tuntija', 'asiantuntija', 'taituri', 'taitaja', 'Adepti', 'ässä', 'taitoniekka', 'adepti', 'huippu-', 'mestari', 'nero', 'virtuoosi', 'velho', 'huippu', 'pääosan esittäjä']","['zon', 'ster', 'sterretje', 'asterisk', 'vedette', 'superster', 'expert', 'zelf-benoemde expert', 'adept', 'Maven', 'deskundige', 'zelf-benoemde specialist', 'kanjer', 'hoogvlieger', 'kei', 'topper', 'genie', 'aas', 'kraan', 'bollebof', 'licht', 'meesteres', 'knapperd', 'grootmeester', 'meester', 'crack', 'coryfee', 'virtuoos', 'meesterbrein', 'specialist', 'bolleboos', 'raspaardje', 'uitblinker', 'duivelskunstenaar', 'hoofdrolspeler']","['तारा', 'नक्षत्र', 'सितारा', 'ज्योतिष', 'आकाशदीप']",star,"['stella', 'astro', 'sole', 'asterisco', 'stelletta', 'superstar', 'Maven', 'diva', 'intenditore', 'adepto', 'primadonna', 'cannone', 'cima', 'demonio', 'mostro', 'mago', 'fuoriclasse', 'asso', 'fenomeno', 'divo', 'celebrità', 'vedette']","['taaraa', 'nakshatra', 'sitara', 'jyotish', 'akashdeep']","['nakshatram', 'tharam', 'prakasham', 'jyotir', 'nakshathrika']","['natchatthiram', 'vinmeen', 'nakshatram', 'nathangi', 'veedu']","['nakshatram', 'taara', 'natudu', 'kalakarudu', 'prasiddhudu']","['taaro', 'taarak', 'nakshatr', 'aabh', 'tejasvi']","['നക്ഷത്രം', 'താരം', 'പ്രകാശം', 'ജ്യോതിർ', 'നക്ഷത്രിക']","['நட்சத்திரம்', 'விண்மீன்', 'நக்ஷத்திரம்', 'நாத்தாங்கி', 'வீடு']","['నక్షత్రం', 'తార', 'నటుడు', 'కళాకారుడు', 'ప్రసిద్ధుడు']","['તારો', 'તારક', 'નક્ષત્ર', 'આભ', 'તેજસ્વી']","['नक्षतराम', 'थरम', 'प्रकाशम', 'ज्योतिर', 'नक्षत्रिका']","['नटचट्ठीराम', 'विनमीन', 'नक्षतराम', 'नथांगी', 'वीडू']","['नक्षतराम', 'तारा', 'नाटुडू', 'कलाकारुडु', 'प्रसिद्धुडु']","['तारो', 'तारक', 'नक्षत्र', 'आभ', 'तेजस्वी']"
"['source', 'saison', 'printemps', 'ressort']","['Quelle', 'Jahreszeit', 'Frühjahr', 'Frühling', 'Lenz', 'Feder', 'Sprungfeder']","['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник', 'время года', 'времена года', 'весна', 'весна́', 'весеннее вре́мя года', 'весе́нний сезо́н', 'пружина', 'пружи́на', 'рессо́ра']","['spring', 'outpouring', 'outflow', 'fountain', 'natural spring', 'season', 'time of year', 'springtime']","['源泉', '泉', '泉水', '喷泉', '季节', '季節', '季', '春天', '春', '春季', '彈簧', '弹簧', '發條', '发条']","['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación', 'estación', 'estación del año', 'estaciones del año', 'primavera', 'resorte', 'muelle']","['泉', '湧水', '温泉', '季節', '春', 'スプリング', 'バネ', '発条', 'ばね']","['샘터', '샘', '계절', '봄', '출렁쇠', '용수철']","['allikas', 'läte', 'veesilm', 'sesoon', 'aastaaeg', 'hooaeg', 'aastaajad', 'kevad', 'vedru', 'Vedru']","['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde', 'vuodenaika', 'kausi', 'kevät', 'keväin', 'jousi', 'vieteri', 'joustin']","['bron', 'wel', 'fontein', 'seizoen', 'jaargetijde', 'jaargetij', 'voorjaar', 'lente', 'lentetijd', 'veer']","['बसंत', 'ऋतु', 'वसंत', 'प्राकृतिक', 'मौसम']",spring,"['sorgente', 'fonte', 'polla', 'scaturigine', 'stagione', 'primavera', 'vere', 'molla']","['basant', 'ritu', 'vasant', 'praakritik', 'mausam']","['vasantham', 'munnal', 'manju', 'thanupp', 'vasanthakaalam']","['ilavaenil', 'vasantham', 'thanneeroottru', 'pongku', 'uutrtru']","['vasantam', 'podarillu', 'chiguru', 'pushpinchu', 'molakettu']","['vasant', 'rutu', 'zaranu', 'fuvaaro', 'uts']","['വസന്തം', 'മുന്നൽ', 'മഞ്ഞ്', 'തണുപ്പ്', 'വസന്തകാലം']","['இளவேனில்', 'வசந்தம்', 'தண்ணீரூற்று', 'பொங்கு', 'ஊற்று']","['వసంతం', 'పొదరిల్లు', 'చిగురు', 'పుష్పించు', 'మొలకెత్తు']","['વસંત', 'ઋતુ', 'ઝરણું', 'ફુવારો', 'ઉત્સ']","['वसंथम', 'मुन्नल', 'मंजू', 'थानुप', 'वसन्तकालम']","['इलावेनिल', 'वसंथम', 'थन्नीरूत्रु', 'पोंगकू', 'ऊत्रत्रु']","['वसंतम', 'पोडरिल्लू', 'चिगुरू', 'पुष्पिंचु', 'मोलाकेट्टू']","['वसंत', 'रुतु', 'ज़रानू', 'फुवारो', 'यूटीएस']"
"['lune', 'Lune']","['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['Луна', 'месяц']","['moon', 'Luna']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']","['चंद्रमा', 'चाँद', 'चन्दा', 'इन्दु', 'सुधा']",moon,"['luna', 'Luna']","['chandrama', 'chaand', 'chandaa', 'indu', 'sudhaa']","['chandran', 'thinkal', 'nilaav', 'chaandrika', 'nishaakaran']","['nilaa', 'suuriyan', 'chandran', 'nilavu', 'chandra']","['chandrudu', 'nela', 'indrudu', 'shashi', 'nisaakarudu']","['chandra', 'chaand', 'indu', 'nishakar', 'shashee']","['ചന്ദ്രൻ', 'തിങ്കൾ', 'നിലാവ്', 'ചാന്ദ്രിക', 'നിശാകരൻ']","['நிலா', 'சூரியன்', 'சந்திரன்', 'நிலவு', 'சந்திரா']","['చంద్రుడు', 'నెల', 'ఇంద్రుడు', 'శశి', 'నిశాకరుడు']","['ચંદ્ર', 'ચાંદ', 'ઇંદુ', 'નિશાકર', 'શશિ']","['चंद्रन', 'थिंकल', 'निलाव', 'चांद्रिका', 'निशाकरण']","['निला', 'सूरियां', 'चंद्रन', 'निलावू', 'चंद्रा']","['चंद्रुडु', 'नेला', 'इंद्रुदु', 'शशी', 'निसाकरुडु']","['चंद्रा', 'चांद', 'इंदू', 'निशाकर', 'शशी']"
