lang,word_original,word_translation
ml,book,"પુસ્તક, ગ્રંથ, પોથી, કિતાબ, ધર્મપુસ્તક"
ml,cloud,"વાદળ, અભ્ર, મેઘ, ઝાંખા, ધૂમ્ર"
ml,bag,"બેગ, થેલી, પેટા, પોટલો, બોરિયો"
ml,mouth,"મોં, મુખ, ઓષ્ઠ, મુખમાં, મુખદ્વાર"
ml,soil,"માટી, જમીન, ભૂમિ, ધરતી, ભોગોળ"
ml,mountain,"પર્વત, ગિરિ, શિખર, કોટ, પહાડ"
ml,cloth,"કાપડ, વસ્ત્ર, લુગડા, પરિધાન, વાસ્ત્ર"
ml,heart,"હૃદય, દિલ, મન, આતમા, હેત"
ml,hand,"હાથ, પંજા, કર, હસ્ત, પાંજરું"
ml,day,"દિવસ, દिन, વસ, સવિતા, ઉજાસ"
ml,star,"તારો, તારક, નક્ષત્ર, આભ, તેજસ્વી"
ml,spring,"વસંત, બસંત, ઋતુ, મોસમ, પાનખર"
ml,moon,"ચંદ્ર, ચાંદ, ઇંદુ, નિશાકર, શશિ"
ml,wood,"લાકડું, કાઠી, દારુ, કાષ્ઠ, વનસ્પતિ"
ml,village,"ગામ, ગ્રામ, પાડા, ગાંવ, ગ્રામજન"
ml,forest,"જંગલ, વન, અરણ્ય, વનપ્રદેશ, કાનપ્રદેશ"
ml,fruit,"ફળ, ફળદ્રુપ, ફળિયું, ફળદ્રુપતા, ફળવિશેષ"
ml,grid,"જાળ, જાળી, નેટવર્ક, કાવતરા, ફલક"
ml,song,"ગીત, ગાન, સુર, ધૂન, રાગ"
ml,water,"પાણી, જળ, ઉદક, નીર, સલિલ"
ml,pond,"તળાવ, સરોવર, કુંડ, જળાશય, તાપી"
ml,sand,"રેતી, રણ, ધૂળ, કંકર, જમાં"
ml,river,"નદી, સરિતા, જળધારા, નિર્જર, ધારા"
ml,law,"કાયદો, નિયમ, ધર્મ, શાસન, ન્યાય"
ml,wave,"તરંગ, લહેર, લહર, મોજા, છલક"
ml,ocean,"સમુદ્ર, જળધર, પાણી, સાગર, જલાશય"
ml,cave,"ગુફા, ગુહા, ખડકાળ, આડ, ખોદાણ"
ml,sea,"સમુદ્ર, દરિયો, જલ, પાણી, સાગર"
ml,lake,"તળાવ, સરોવર, જળાશય, સરસ, જલાશય"
ml,source,"સ્ત્રોત, મૂળ, ઉત્પત્તિ, ઉદ્ગમ, આધાર"
ml,fire,"અગ્નિ, આંચ, તાપ, તેજ, જ્વાળા"
ml,point,"બિંદુ, સ્થાન, સ્થળ, ટુંક, ચોક્કસ"
ml,version,"આવૃત્તિ, સંસ્કરણ, અવતરણ, રૂપાંતર, પ્રકાર"
ml,ball,"ગોળ, ગેંદ, પિંડ, ગોલક, ડોલક"
ml,painting,"ચિત્રકારી, ચિત્ર, રંગકામ, ચિત્રકલા, ભાતી"
ml,station,"સ્ટેશન, થાંભલો, મથક, સ્થાન, ટેર્મિનલ"
ml,rice,"ચોખા, ભાત, ધાન્ય, અન્ન, ધાન"
ml,red,"લાલ, રક્તિમ, રાતો, ગુલાબી, રંગ"
ml,line,"રેખા, લાઇન, કિનાર, સીમા, રેખાંકિત"
ml,net,"જાળ, નેટ, જાળી, ફાંદ, જાળો"
ml,flower,"ફૂલ, પુષ્પ, પ્રફુલ્લ, કુસુમ, પતંગ"
ml,tea,"ચા, કાફી, પાણી, પીણું, રસ"
ml,foot,"પગ, પાદ, પાદક, ચરણ, પાયા"
ml,gold,"સોનું, સુવર્ણ, કનક, સોનારુ, પાંચાળ"
ml,door,"દરવાજો, બારી, દ્વાર, પ્રવેશદ્વાર, કવાંટ"
ml,snow,"બરફ, હિમ, શિલારજ, તુષાર, હિમરજ"
ml,horse,"ઘોડો, અશ્વ, ઘેંશ, વાજી, તુરગ"
ml,one,"એક, પહેલો, સર્વપ્રથમ, પ્રથમ, એકમાત્ર"
ml,two,"બે, દો, બેઉ, દોનેં, દોહોં"
ml,three,"ત્રણ, ત્રિ, તીન, ત્રય, ત્રિક"
ml,four,"ચાર, ચારે, ચોથો, ચતુર, ચારણ"
ml,five,"પાંચ, પંચ, પંચક, પાંચક, પંચાક્ષરી"
ml,six,"છ, સાંઈ, છઈ, ષષ, ષાષ"
ml,seven,"સાત, સપ્ત, સાતનો, સાતમો"
ml,eight,"આઠ, અષ્ટ, અષ્ટક, આઠનું, અષ્ટમ"
ml,nine,"નવ, નવમો, નવાં, નવમોં, નવમાં"
ml,ten,"દસ, દશ, દસક, દશક, દસાંક"
