lang,word_original,word_translation
gu_translit,book,"pustak,granth,pothee,kitaab,dharmpustak"
gu_translit,cloud,"vaadad,abhr,megh,zankha,dhoomra"
gu_translit,bag,"bagg,thelee,petaa,potalo,boriyo"
gu_translit,mouth,"mone,mukh,oshth,mukhamaa,mukhdwar"
gu_translit,soil,"maatee,jameen,bhoomi,dhartee,bhogol"
gu_translit,mountain,"parvat,giri,shikhar,qota,pahaad"
gu_translit,cloth,"kaapad,vastra,lugada,paridhan,vaastra"
gu_translit,heart,"hraday,deel,munn,aatama,heta"
gu_translit,hand,"haath,panjaa,qara,hast,panjaru"
gu_translit,day,"divas,vasa,saveeta,ujaas"
gu_translit,star,"taaro,taarak,nakshatr,aabh,tejasvi"
gu_translit,spring,"vasant,basant,rutu,mosam,pankhar"
gu_translit,moon,"chandra,chaand,indu,nishakar,shashee"
gu_translit,wood,"laakadu,kaathee,daaru,kaashth,vanaspati"
gu_translit,village,"gaam,graam,paadaa,gaanv,graamjan"
gu_translit,forest,"jungle,vana,aranya,vanpradesh,kanpradesh"
gu_translit,fruit,"fala,faldrup,faliyun,faldrupataa,falvishesh"
gu_translit,grid,"jaal,jaalee,network,kavtara,falak"
gu_translit,song,"geet,gaan,suur,dhoon,raag"
gu_translit,water,"paanee,jala,udak,neer,saleel"
gu_translit,pond,"talaav,sarovara,kunda,jalashay,taapi"
gu_translit,sand,"retee,rann,dhool,kankar,jamaa"
gu_translit,river,"nadee,sareeta,jaldhara,nirjar,dhaara"
gu_translit,law,"kaayado,niyam,dharm,shaasan,nyaay"
gu_translit,wave,"tarang,laher,lahar,mojaa,chhalak"
gu_translit,ocean,"samudra,jaldhar,paanee,sagar,jalashay"
gu_translit,cave,"gufaa,guha,khadkaal,aad,khodaan"
gu_translit,sea,"samudra,dareeyo,jaal,paanee,sagar"
gu_translit,lake,"talaav,sarovara,jalashay,saras,jalashay"
gu_translit,source,"strot,mool,utpatti,udgam,aadhaar"
gu_translit,fire,"agnee,aanch,taap,tej,jwala"
gu_translit,point,"bindu,sthaan,sthal,tunk,chokkas"
gu_translit,version,"aavrutti,sanskaran,avtaran,rupaantar,prakaar"
gu_translit,ball,"gola,gend,pind,golak,dolak"
gu_translit,painting,"chitrakari,cheetra,rangkaam,chitrakala,bhaatee"
gu_translit,station,"station,thambhalo,mathak,sthaan,terminal"
gu_translit,rice,"chokha,bhaat,dhaany,ann,dhaan"
gu_translit,red,"laal,raktim,raato,gulabi,rung"
gu_translit,line,"rekhaa,line,keenar,seema,rekhankeet"
gu_translit,net,"jaal,nett,jaalee,faand,jaalo"
