lang,word_original,word_translation
ml,book,"पुस्तक, किताब, ग्रंथ, पोथी, सहिफा"
ml,cloud,"बादल, मेघ, अभ्र, वालाहक, जलवाष्प"
ml,bag,"बैग, थैला, पर्स, झोला, माला"
ml,mouth,"मुंह, मुख, ओठ, जीभ, वदन"
ml,soil,"मिट्टी, भूमि, धरती, जमीन, मृदा"
ml,mountain,"पर्वत, पहाड़, शिखर, गिरि, क्षितिज"
ml,cloth,"कपड़ा, वस्त्र, कपास, रेशम, वसन"
ml,heart,"हृदय, दिल, मन, आत्मा, सीना"
ml,hand,"हाथ, पंजा, कर, हस्त, मुट्ठी"
ml,day,"दिन, दिवस, समय, अवधि, अवधी"
ml,star,"तारा, नक्षत्र, सितारा, आकाशदीप, ज्योतिष"
ml,spring,"बसंत, ऋतु, वसंत, प्रिमवेरा, स्प्रिंग"
ml,moon,"चंद्रमा, चाँद, इंदु, निशाकर, सोम"
ml,wood,"लकड़ी, काष्ठ, दारू, इमारती, वन"
ml,village,"गांव, देहात, ग्राम, बस्ती, पल्ली"
ml,forest,"जंगल, वन, वनस्पति, आरण्य, कानन"
ml,fruit,"फल, पेय, रत्न, संतान, उत्पाद"
ml,grid,"जाल, ग्रिड, नक्शा, योजना, मैट्रिक्स"
ml,song,"गाना, संगीत, गीत, धुन"
ml,water,"पानी, जल, नीर, सलिल, उदक"
ml,pond,"तालाब, जलाशय, सरोवर, पोखर, झील"
ml,sand,"रेत, बालू, धूल, मिट्टी, कंकड़"
ml,river,"नदी, दरिया, जलधारा, सरिता, निर्झर"
ml,law,"कानून, नियम, विधि, अधिनियम, धारा"
ml,wave,"लहर, तरंग, वेल, जलतरंग, उद्वेल"
ml,ocean,"महासागर, समुद्र, सागर, जलधि, पयोनिधि"
ml,cave,"गुफा, खोह, अंधकार, गह्वर, आश्रय"
ml,sea,"समुद्र, सागर, जल, पानी, महासागर"
ml,lake,"तालाब, झील, सरोवर, जलाशय, झिलमिल"
ml,source,"स्रोत, मूल, उत्पत्ति, स्त्रोत, उद्गम"
ml,fire,"आग, जलन, धधक, ज्वाला, शोला"
ml,point,"बिंदु, स्थान, स्थल, बिन्दु, नुक्ता"
ml,version,"संस्करण, आवृत्ति, प्रत, स्वरूप, रूपांतरण"
ml,ball,"गेंद, बॉल, गोला, टोपी, नली"
ml,painting,"चित्रकारी, चित्र, पेंटिंग, आर्ट, निर्माण"
ml,station,"स्टेशन, ठहराव, स्थान, डिपो, टर्मिनल"
ml,rice,"चावल, धान, अन्न, भात, धान्य"
ml,red,"लाल, रक्त, रंगीन, गुलाबी, सुर्ख"
ml,line,"रेखा, लकीर, सीमा, रेखा, लक्ष्मा"
ml,net,"जाल, वेब, नेटवर्क, मेष, जाली"
ml,flower,"फूल, पुष्प, कुसुम, सुमन, प्रसून"
ml,tea,"चाय, चायपत्ती, हर्बल, कॉफी, मसाला"
ml,foot,"पैर, पाद, चरण, तलवा, पग"
ml,gold,"सोना, स्वर्ण, काना, धातु, आभूषण"
ml,door,"दरवाजा, द्वार, फाटक, गेट, प्रवेशद्वार"
ml,snow,"हिम, बर्फ, शीत, श्वेत, वर्षा"
ml,horse,"घोड़ा, अश्व, तुरंग, वाजि"
ml,one,"एक, पहला, इक, प्रथम, अकेला"
ml,two,दो
ml,three,"तीन"
ml,four,"चार, चौथा, चौथा, कुछ, चौका"
ml,five,"पांच, पंच, पंक्ति, पंचक, पञ्च"
ml,six,"छह, षष्ठ, छठा, सातवें, षड्"
ml,seven,"सात, सप्त, सपन, सत, सेवन"
ml,eight,"आठ, अठवां, अष्ट, अठ्ठा, अट्ठारह"
ml,nine,"नौ, नव, निन्न, नवम, नौग"
ml,ten,"दस, दहन, दश, दशक, दशांश"
ml,head,"सिर, मस्तिष्क, शीर्ष, माथा, कपाल"
ml,shop,"दुकान, खाना, बाजार, प्रतिष्ठान, आउटलेट"
ml,strip,"पट्टी, धारा, फीता, टुकड़ा, पासा"
ml,street,"सड़क, गली, रास्ता, मार्ग, सड़कमार्ग"
ml,part,"हिस्सा, भाग, अंश, खंड, टुकड़ा"
ml,eye,"आँख, नयन, नेत्र, अक्षि, दृष्टि"
ml,field,"क्षेत्र, मैदान, खेत, भूमि, क्षेत्रफल"
ml,site,"स्थल, जगह, स्थान, वेबसाइट, मैदान"
ml,dance,"नृत्य, नाच, थिरक, लचक, झूम"
ml,word,"शब्द, पद, वाक्य, अभिव्यक्ति, शब्दांश"
ml,pair,"जोड़ा, युग्म, जोरा, साथी, समूह"
ml,seat,"आसन, सीट, स्थान, पद, कुर्सी"
ml,light,"प्रकाश, रोशनी, ज्योति, आलोक, उजाला"
ml,thousand,"हजार, सहस्र, आयुत, हजारा, सहस्त्र"
ml,north,"उत्तर, दिशा, ऊर्ध्व, शीर्ष, उत्तरदिशा"
ml,machine,"यंत्र, मशीन, उपकरण, मशीनरी, औजार"
ml,time,"समय, काल, वक्त, घड़ी, अवधि"
ml,benefit,"लाभ, फायदा, प्राप्ति, व्यय"
