lang,word_original,word_translation
hi_translit,book,"pustak,kitab,granth,pothi,sahifa"
hi_translit,cloud,"baadal,megh,abhr,valahak,jalvaashp"
hi_translit,bag,"bagg,thaila,purses,jholaa,maalaa"
hi_translit,mouth,"munh,mukh,othh,jeebh,vadan"
hi_translit,soil,"mitty,bhoomi,dharti,jameen,mrida"
hi_translit,mountain,"parvat,pahaad,shikhar,giri,kshitij"
hi_translit,cloth,"kapada,vastra,kapas,resham,vasan"
hi_translit,heart,"hriday,dill,munn,aatma,seena"
hi_translit,hand,"haath,panja,curr,hast,mutthi"
hi_translit,day,"dinn,divas,samay,avadhi,avadhi"
hi_translit,star,"taaraa,nakshatra,sitara,akashdeep,jyotish"
hi_translit,spring,"basant,ritu,vasant,primvera,spring"
hi_translit,moon,"chandrama,chaand,indu,nishaakar,soam"
hi_translit,wood,"lakadi,kaashth,daaroo,imaarati,vann"
hi_translit,village,"gaanv,dehaat,graam,basti,palli"
hi_translit,forest,"jangal,vann,vanaspati,aaranya,kaanan"
hi_translit,fruit,"phal,peya,ratna,santan,utpaad"
hi_translit,grid,"jaal,grid,naksha,yojana,matricks"
hi_translit,song,"gaanaa,sangeet,geet,dhuna"
hi_translit,water,"paani,jall,neer,salil,udak"
hi_translit,pond,"talab,jalaashay,sarovar,pokhar,jheel"
hi_translit,sand,"rait,baaloo,dhool,mitty,kankad"
hi_translit,river,"nadee,dariya,jaldhara,sarita,nirjhar"
hi_translit,law,"kaanoon,niyam,vidhi,adhiniyam,dhaara"
hi_translit,wave,"lahar,tarang,well,jaltarang,udvel"
hi_translit,ocean,"mahasagar,samudra,sagar,jaladhi,payonidhi"
hi_translit,cave,"gufa,khoh,andhkaar,gahwar,aashray"
hi_translit,sea,"samudra,sagar,jall,paani,mahasagar"
hi_translit,lake,"talab,jheel,sarovar,jalaashay,jhilmil"
hi_translit,source,"srot,mool,utpatti,strot,udgam"
hi_translit,fire,"aag,jalan,dhadhak,jwala,shola"
hi_translit,point,"bindu,sthaan,sthal,bindu,nukta"
hi_translit,version,"sanskaran,aavritti,prat,swaroop,rupantaran"
hi_translit,ball,"gend,ball,golaa,topi,nully"
hi_translit,painting,"chitrakaari,chitra,painting,art,nirmaan"
hi_translit,station,"station,thaharaav,sthaan,dipo,terminal"
hi_translit,rice,"chawal,dhaan,ann,bhaat,dhaanya"
hi_translit,red,"laal,rakt,rangeen,gulabi,surkh"
hi_translit,line,"rekha,lakir,seema,rekha,lakshma"
hi_translit,net,"jaal,web,network,mesh,jaali"
hi_translit,flower,"phool,pushp,kusum,suman,prasoon"
hi_translit,tea,"chaay,chaaypatti,herble,coffey,masala"
hi_translit,foot,"pair,paad,charan,talwa,pug"
hi_translit,gold,"sonaa,swarn,kaanaa,dhaatu,aabhushan"
hi_translit,door,"darwaja,dwaar,faatak,gett,praveshdwar"
hi_translit,snow,"himm,burf,sheet,shwet,varsha"
hi_translit,horse,"ghodaa,ashwa,turang,vaaji"
hi_translit,one,"aeka,pahala,ick,pratham,akela"
hi_translit,two,dou
hi_translit,three,teen
hi_translit,four,"chaar,chautha,chautha,kuchh,chauka"
hi_translit,five,"paanch,punch,pankti,panchak,punch"
hi_translit,six,"chhah,shashth,chhathaa,saatven,shadd"
hi_translit,seven,"saat,sapt,sapan,sath,sevan"
hi_translit,eight,"aathh,athvaan,asht,atthaa,atthaarah"
hi_translit,nine,"nau,nava,ninn,navam,naug"
hi_translit,ten,"duss,dahan,dash,dashak,dashansh"
hi_translit,head,"sir,mastishk,sheersh,maathaa,kapaal"
hi_translit,shop,"dukaan,khaana,bajar,pratishthaan,outlet"
hi_translit,strip,"patti,dhaara,feeta,tukada,paasaa"
hi_translit,street,"sadak,gully,raasta,maarg,sadakamaarg"
hi_translit,part,"hissa,bhaag,ansh,khand,tukada"
hi_translit,eye,"aankh,nayan,netra,akshi,drishti"
hi_translit,field,"kshetra,maidan,khet,bhoomi,kshetrafal"
hi_translit,site,"sthal,jagah,sthaan,website,maidan"
hi_translit,dance,"nritya,naach,thirak,lachak,jhoom"
hi_translit,word,"shabd,pada,vaakya,abhivyakti,shabdansh"
hi_translit,pair,"jodaa,yugm,joraa,saathi,samooh"
hi_translit,seat,"aasan,seat,sthaan,pada,kursi"
hi_translit,light,"prakaash,roshni,jyoti,aalok,ujala"
hi_translit,thousand,"hazaar,sahasr,ayut,hazara,sahastra"
hi_translit,north,"uttar,disha,oordhva,sheersh,uttardisha"
hi_translit,machine,"yantra,machine,upkaran,machinary,aujaar"
hi_translit,time,"samay,kaal,vakt,ghadee,avadhi"
hi_translit,benefit,"laabh,fayda,praapti,vyay"
hi_translit,position,"sthiti,sthaan,pada,avastha"
hi_translit,province,"praant,raajya,kshetra,pradesh,anchal"
hi_translit,exchange,"adla,badala,vinimay,parivartan,lenden"
hi_translit,middle,"madhya,beach,bilkul,अध madhya,madhyam"
hi_translit,friend,"mitra,dost,saathi,sahayogi,sangee"
hi_translit,color,"rung,varna,dhwani,chhataa,tewar"
hi_translit,kind,"dayalu,sahaayak,mitravat,snehi,premalu"
hi_translit,judge,"nyayadhish,jaj,nirnaayak,vichaarak,moolyankak"
hi_translit,school,"vidyalaya,school,shikshaalay,pathshala,college"
hi_translit,structure,"dhancha,sanrachana,banaavat,rachana,sangathan"
hi_translit,tie,"gaanth,bandhan,rishta,bandh,jodd"
hi_translit,example,"udaaharan,misal,namuna,pratik,drishtant"
hi_translit,face,"mukh,chehra,mohra,roop,aakaar"
hi_translit,bridge,"pull,setu,baandh,sadak"
hi_translit,item,"vastu,padaarth,samagri,vastra,vastu"
hi_translit,delete,"mitana,hataana,hataana"
hi_translit,group,"samooh,dall,tolly,jattha,mandal"
hi_translit,talent,"pratibha,kaushal,yogyata,kshamata,kalaa"
hi_translit,beauty,"sundarta,aakarshan,roop,saundarya,aakarsha"
hi_translit,platform,"munch,platform,stage,tikauna,aadhaar"
hi_translit,house,"ghar,makaan,bhawan,sadan,bangla"
hi_translit,sun,"suraj,soorya,dinkar,bhaskar,ravi"
hi_translit,meeting,"baithak,mulakat,sammelan,sangoshthi,samavesh"
hi_translit,history,"itihas,aitihaas,ateet,charitra,puraavritt"
hi_translit,valley,"ghaati,taraai,nichaai,khaadi,upatyaka"
hi_translit,square,"varg,chauk,aayat,chaturbhuj,maidan"
hi_translit,generation,"peedhi,abhiyaantriki,utpatti,janm"
hi_translit,south,"dakshin,dakkhin"
hi_translit,virtue,"guna,sadgun,naitikta,dharm,punya"
hi_translit,tribe,"janjaati,kabila,samudaay,jaati,samaaj"
hi_translit,city,"shahar,nagar,kasba,mahanagar,basti"
hi_translit,language,"bhasha,bollie,juban,vaani,tarika"
hi_translit,speed,"gati,wegg,chaal,raftar,gati"
hi_translit,ground,"jameen,bhoomi,dharti,meenan,maidan"
hi_translit,advance,"aage,pragati,unnati,pragatisheel,unnat"
hi_translit,attempt,"prayaas,koshish,prayatn,yatn,prayaas"
hi_translit,defeat,"haar,parajay,asafalata,apajay"
hi_translit,tail,"poonchh,duma,lumb,puchchh,pradesh"
hi_translit,mother,"maan,maataa,janani,amba,maatri"
hi_translit,east,"poorv,purvadisha,pravodh,praachi,paurab"
hi_translit,return,"vaapsee,pratidaan,lautana,punaragaman,vapisi"
hi_translit,speech,"bhashan,vaktavya,vaani,abhivaadan,udbodhan"
hi_translit,child,"bachcha,baalak,shishu,baal,santan"
hi_translit,tower,"burj,meenar,tower,stambh,minar"
hi_translit,hair,"baal,kesh,jooaan,loam,wall"
hi_translit,household,"parivaar,ghar,gharaana,parivesh,grihasth"
hi_translit,person,"vyakti,manushya,prani,jeev,maanav"
hi_translit,section,"anubhaag,bhaag,khand,prabhaag,vibhaag"
hi_translit,official,"aadhikaarik,sarkari,adhikrit,karmchari,adhikaari"
hi_translit,hundred,"sou,shata,eksou,shatak,shatam"
hi_translit,office,"karyalaya,daftar,kaaryasthal,office,diody"
hi_translit,rock,"pathar,shila,chattan,patthar,shail"
hi_translit,rise,"uthaan,vriddhi,utthaan,chadhaav,badhat"
hi_translit,left,"baayen,vaam,दायें naheen,baaen,alp"
hi_translit,sound,"dhwani,aavaaj,shabd,swar,akshar"
hi_translit,power,"shakti,oorjaa,bull,samarthya,adhikaar"
hi_translit,summer,"greeshm,garmi,unee,ritu"
