lang,word_original,word_translation
ml,book,"წიგნი, ნაწარმოები, გამოცემა, ლიტერატურა, პუბლიკაცია"
ml,cloud,"სივრცე, ღრუბელი, მალა, ნისველი, ღრუბლი"
ml,bag,"ჩანთა, ტომა, საქონელი, კარადი, პორტფელი"
ml,mouth,"პირი, სახე, ლაყვა, ნახვა, შესასვლელი"
ml,soil,"ნიადაგი, მიწა, ჰუმუსი, სასუქი, თიხა"
ml,mountain,"მთა, გორა, კავკასიონი, სამხრე, ბორცვი"
ml,cloth,"ტანსაცმელი, სამოსელი, ქსოვილი, ნაჭერი, ფაბრიკა"
ml,heart,"გული, სიყვარული, გრძნობა, შინა, სული"
ml,hand,"ხელი, მკლავი, მუხლი, თითი, ლაპი"
ml,day,"დღე, დღეისათვის, მზე, საათი, პერიოდი"
ml,star,"ვარსკვლავი, ასტერო, ასტრა, შემსრულებელი, ზოდიაკო"
ml,spring,"გაზაფხული, გაზრდა, წყარო, საწყისი, აღმასვლა"
ml,moon,"მთვარე, სელენა, ლუნა, მენა, მთვარეობა"
ml,wood,"მერქანი, ხე, ტყე, მასალა, ნაგავი"
ml,village,"სოფელი, დაბა, თემი, აული, სასოფლო"
ml,forest,"ტყე, სატყეო, მერქანი, ხესრეული, სახევარი"
ml,fruit,"ხილი, ნაყოფი, კენკრა, რბილი, კული"
ml,grid,"კვადრატი, ბადე, სისტემა, ქსელი, სქემა"
ml,song,"სიმღერა, მელოდია, ჰიმნი, საგალობელი, შესანი"
ml,water,"წყალი, სელი, ნალი, წყარო, დინება"
ml,pond,"ტბა, წყალსაცავი, ჭა, აუზი, ლენტი"
ml,sand,"ქვიშა, ნაყარი, ფხვიერი, მტვერი, სილიკა"
ml,river,"მდინარე, ნაკადული, სადინარი, წყალი, ნაკადი"
ml,law,"კანონი, სამართალი, ნორმა, წესი, განკარგულება"
ml,wave,"ტალღა, ნალა, დინება, მდინარე, ნაცემი"
ml,ocean,"ოკეანე, ზღვა, წყალი, საზღვარი, დედამიწა"
ml,cave,"გამოქვაბული, მღვიმე, ნახევარგამოქვაბული, სამალავი, შპელეოლოგია"
ml,sea,"ზღვა, ოკეანე, წყალი, მარი, საზღვარი"
ml,lake,"ტბა, წყალსატევი, სარკე, თევზისაცემი, წყალი"
ml,source,"წყარო, სათავე, გამომავალი, მომავალი, საბადო"
ml,fire,"ცეცხლი, სანთელი, ალი, სინათლე, შენა"
ml,point,"წერტი, მუხტი, ნიშანი, ადგილი, პუნქტი"
ml,version,"ვერსია, ვარიანტი, სახეობა, ტიპი, მოდიფიკაცია"
ml,ball,"ბურთი, სფერო, შარი, გლობუსი, სახითა"
ml,painting,"სურათი, ფერწერა, ნახატი, გამოსახულება, კარტინა"
ml,station,"სადგური, გაჩერება, პუნქტი, შესარდაფი, მოედანი"
ml,rice,"ბრინჯი, საჭმელი, პური, ხორბალი, სიმინდი"
ml,red,"წითელი, სისხლისფერი, მეწამული, მუქი, ბროწეული"
ml,line,"ხაზი, ზოლი, სტრიქონი, მხარე, ფრონტი"
ml,net,"ქსელი, ბადე, სარკე, სქემა, ინტერნეტი"
ml,flower,"ყვავილი, მცენარე, ფურცელი, გვირილი, სურნელი"
ml,tea,"ჩაი, სასმელი, ნაყენი, სასმელისა, შავიჩაი"
ml,foot,"ფეხი, კენწერო, წესი, ბალახი, საფეხური"
ml,gold,"ოქრო, ვერცხლი, ძვირფასი, მეტალი, საგანი"
ml,door,"კარი, შესასვლელი, კარები, შესასვლელი, ღიობი"
ml,snow,"თოვა, თოვლი, ყინული, ყარუ, ყარყა"
ml,horse,"ცხენი, ჯიში, ცხენები, გარეშე, მხეცი"
ml,one,"ერთი, პირველი, ერთობლივი, საერთო, მხოლოდ"
ml,two,"ორი, წყვილი, ჯერი, მეორე, დვილი"
ml,three,"სამი, ტრიო, სამეული, სამობი, თრია"
ml,four,"ოთხი, კვადრატი, ტეტრა, კვარტალი, კვადრა"
ml,five,"ხუთი, ხუთეული, პენტა, კვინტა, ხუთიანი"
ml,six,"ექვსი, ხუთზეთი, სამჯერზეორი, ნახევარტოლი, შესახედი"
ml,seven,"შვიდი, შვიდივე, შვიდეული, შვიდიანი, შვიდკაციანი"
ml,eight,"რვა, რვიანი, ოთხმოცი, რვაოდენი, რვაეული"
ml,nine,"ცხრა, ცხრაი, ცხრამეტი, ცხრაოდე, ცხრავი"
ml,ten,"ათი, ცხრა, ცენზი, დეკადა, ტენი"
ml,head,"თავი, სათავე, მეთაური, ხელმძღვანელი, მეთაური"
ml,shop,"მაღაზია, სავაჭრო, საცალო, ფირმა, ბაზარი"
ml,strip,"ზოლი, ლენტი, სარტყელი, ფერდი, ზოლები"
ml,street,"ქუჩა, გამზირი, შოსე, პროსპექტი, გზა"
ml,part,"ნაწილი, მონაკვეთი, სეგმენტი, კომპონენტი, ელემენტი"
ml,eye,"თვალი, სანახი, შუალი, ყური, ჩხარი"
ml,field,"მინდორი, ველი, სავარგული, სათიბი, საძოვარი"
ml,site,"საიტი, ადგილი, ტერიტორია, მდებარეობა, ლოკაცია"
ml,dance,"ცეკვა, საცეკვაო, მოძრაობა, რიტმი, მასურკა"
ml,word,"სიტყვა, გამოთქმა, ლექსი, ფრაზა, ტერმინი"
ml,pair,"წყვილი, იმედი, ჟინი, წყვილიანი, ჟინიანი"
ml,seat,"ადგილი, სავარძელი, კურული, თანამდებობა, კათედრა"
ml,light,"სინათლე, ნათელი, ჩანარი, განთიადი, სხივი"
ml,thousand,"ათასი, მრავალი, ბევრი, საუკუნე, მრავლადი"
ml,north,"ჩრდილოეთი, ჩრდილო, ზემო, ზევით, ვერხი"
