lang,word_original,word_translation
ml_translit,book,"pusthakam,grandham,paatapusthakam,noll,gramdham"
ml_translit,cloud,"megham,abhram,jalavi,vaathilyam,neehaarika"
ml_translit,bag,"sanchi,petti,kitti,puttha,paikk"
ml_translit,mouth,"vaaya,mukham,thaadi,chundu"
ml_translit,soil,"mannu,podi,bhoomi,puzhukka,taris"
ml_translit,mountain,"kodumudi,malaa,parvatham,kunnu,parvatham"
ml_translit,cloth,"thuni,vasthram,aadai,putt,capri"
ml_translit,heart,"hridayam,hridaya,manass,chittham,manam"
ml_translit,hand,"kaii,karam,vala,astham,paani"
ml_translit,day,"dinam,pakal,divasam,naal,thinkal"
ml_translit,star,"nakshatram,tharam,prakasham,jyotir,nakshatram"
ml_translit,spring,"vasantham,muthalkkood,vasanthakaalam,pushpam,spring"
ml_translit,moon,"chandran,thinkal,nilaav,chaandrika,nilavu"
ml_translit,wood,"maram,thadi,kattaை,vanmaram,thitt"
ml_translit,village,"graamam,pattanam,nagaram,panchaayath,desham"
ml_translit,forest,"kaadu,vanam,aranyam,thadavu,panthalam"
ml_translit,fruit,"pazham,phalam,kaaya,poova,chaara"
ml_translit,grid,"jaalakam,shringhala,grid,jaalika,valayam"
ml_translit,song,"gaanam,paatt,samgeetham,raagam,bhajanam"
ml_translit,water,"jalam,vellam,neeru,paani,thanneeru"
ml_translit,pond,"kulam,thadaakam,cherukulam,kayam,jalashayam"
ml_translit,sand,"mannu,podi,charal,marampodi,palukay"
ml_translit,river,"nadhi,aruvi,thodu,kaayal,jalam"
ml_translit,law,"niyamam,chattam,kramam,vidhi,saasanam"
ml_translit,wave,"tharamgam,kaatt,alaa,thira,chalanam"
ml_translit,ocean,"samudram,kadal,perumkadal,kadalaazham,jaladhi"
ml_translit,cave,"guha,kutty,kovanam,paathalam"
ml_translit,sea,"kadal,samudram,perumkadal,vaari,jaladhi"
ml_translit,lake,"thadaakam,kulam,sarass,jalashayam,kaayal"
ml_translit,source,"uravidam,srothass,aadharam,prathipaadyam,moolam"
ml_translit,fire,"thee,agni,jwalanam,valkkaranam,analam"
ml_translit,point,"bindu,sthaanam,koonu,paayint,mukham"
