lang,word_original,word_translation
ml,book,"புத்தகம், நூல், ஏடு, தொகுப்பு, கட்டுரை"
ml,cloud,"மேகம், வானம், முகில், துகில், வான்மதி"
ml,bag,"பை, சுமை, பெட்டி, பெட்டை, கூடை"
ml,mouth,"வாய், புழுவு, துவாரம், நுழைவாயில், வாயில்"
ml,soil,"மண், நிலம், பூமி, மணல், தரை"
ml,mountain,"மலை, குன்று, பர்வதம், அடுக்கு, கொடுமுடி"
ml,cloth,"துணி, ஆடை, பட்டு, தொட்டு, கம்பளம்"
ml,heart,"இதயம், உள்ளம், மனம், அகம், உள்ளத்தில்"
ml,hand,"கை, கரம், வலம், இடம், கரம்"
ml,day,"நாள், தினம், பகல், திவசம், தினம்"
ml,star,"நட்சத்திரம், விண்மீன், நக்ஷத்திரம், நாத்தாங்கி, விண்"
ml,spring,"இளவேனில், வசந்தம், தண்ணீரூற்று, உருக்குன்று, வெள்ளம்"
ml,moon,"நிலா, சூரியன், சந்திரன், நிலவு, சந்திரா"
ml,wood,"மரம், கட்டை, தடி, வேலி, காடு"
ml,village,"கிராமம், சிற்றூர், குடியிருப்பு, பட்டி, ஊர்"
ml,forest,"காடு, வனம், மரங்கள், புல்வெளி, தோப்பு"
ml,fruit,"பழம், கனி, காய், சீத்தல், பயறு"
ml,grid,"சட்டகம், ஜாலம், வலை, சக்கரம், கோலம்"
ml,song,"பாடல், இசை, கீர்த்தனை, கவிதை, மெல்லிசை"
ml,water,"நீர், தண்ணீர், வெள்ளம், நீர்மம், தண்ணீர்மம்"
ml,pond,"குளம், ஏரி, தடாகம், கெட்டி, செறிவு"
ml,sand,"மணல், மண், பவளம், மாவு, பொடி"
ml,river,"ஆறு, நதி, கால்வாய், ஓடை, அருவி"
ml,law,"சட்டம், விதி, தர்மம், நியதி, நீதி"
ml,wave,"அலை, திரைப்பு, செலப்பு, நடுக்கம், தாக்கம்"
ml,ocean,"கடல், சமுத்திரம், பெருங்கடல், அலை, வருணம்"
ml,cave,"குகை, குகையறை, குகைகள், குகையில், குகைகளில்"
ml,sea,"கடல், சமுத்திரம், பெருங்கடல், அலை, வருணம்"
ml,lake,"ஏரி, குளம், தடாகம், கடல், குடத்தை"
ml,source,"மூலம், ஆதாரம், பொருள், காரணம், பதவி"
ml,fire,"நெருப்பு, தீ, அக்கினி, கனல், சுடர்"
ml,point,"புள்ளி, குறிப்பு, பகுதி, இடம், முனை"
ml,version,"பதிப்பு, வடிவம், பதிப்பினம், வேறுபாடு, மாற்றம்"
ml,ball,"பந்து, கோளம், உருண்டை, காப்பு, கோல்"
ml,painting,"ஓவியம், வரைபடம், படம், சித்திரம், நீர்வர்ணம்"
ml,station,"நிலையம், சந்திப்பு, முனையம், தடம், வளாகம்"
ml,rice,"அரிசி, சோறு, பத்தம், நெல், கதிர்"
ml,red,"சிவப்பு, குங்குமம், செம்மை, வெளிச்சம், கெம்பு"
ml,line,"கோடு, வரிசை, பாதை, கோடுகள், ஓட்டம்"
ml,net,"வலை, நெட், ஜாலம், பின்னல், பொருட்கயிறு"
ml,flower,"பூ, மலர், அரும்பு, நறுவி, பொதும்பர்"
ml,tea,"தேநீர், தேயிலை, தேனீர், காபி, பானம்"
ml,foot,"கால், பாதம், பாதம், கழல், அடி"
ml,gold,"தங்கம், பொன், பொன்ன், கனகம், சுவர்ணம்"
ml,door,"கதவு, வாயில், பாதை, நுழைவாயில், வாசல்"
ml,snow,"பனி, மழைப்பனி, பனித்துளி, சளி, பனிப்பொழிவு"
ml,horse,"குதிரை, வீரன், காளை, மாடு, பல்லான்"
ml,one,"ஒன்று, ஒரு, முதல், முதன், தனி"
ml,two,"இரண்டு, ரெண்டு, தொட்டு, இரு, ரண்டு"
ml,three,"மூன்று, முத்து, மூவரி, மும்மாய், மூன்றெண்"
ml,four,"நான்கு, கால், செங்கால், நால், நாலு"
ml,five,"ஐந்து, ஐம்பது, அஞ்சு, ஐந்திணை, ஐம்பது"
ml,six,"ஆறு, அறு, அறுவது, ஆற்று, அறுவகை"
ml,seven,"ஏழு, எழுவாயிரம்"
ml,eight,"எட்டு, அட்டு, எண்பது, அஷ்ட, எழுபத்தைந்து"
ml,nine,"ஒன்பது, நவம், நெஞ்சு, தொள்ளாயிரம்"
ml,ten,"பத்து, இரண்டுபத்தி, பதினொன்றில்லை, பத்துக்கு, தசமம்"
ml,head,"தலை, தலைமை, முனை, கணு, மூளை"
ml,shop,"கடை, அங்காடி, விற்பனையாளர், வியாபாரம், பண்டகம்"
ml,strip,"பட்டை, கரை, பகுதி, துண்டு, பட்டா"
ml,street,"தெரு, வீதி, சாலை, பாதை, வழி"
ml,part,"பகுதி, பாகம், பகுத்தளம், துணை, பிரிவு"
ml,eye,"கண், கண்ணாடி, பார்வை, நேத்திரம், காட்சி"
ml,field,"வயல், புலம், திடல், களம், பகுதி"
ml,site,"இடம், இணையதளம், தளம், ஸ்தலம், நிலம்"
ml,dance,"நடனம், ஆடல், அசைவு, தாளம், குதிரையாட்டம்"
ml,word,"சொல், வார்த்தை, மொழி, கிளவி, கூற்று"
ml,pair,"ஜோடி, இரட்டை, தம்பதி, சோடி, துணை"
ml,seat,"இருக்கை, அமர்வு, ஆசனம், திண்டு, திணை"
ml,light,"ஒளி, வெளிச்சம், சொர்ணம், ஜொலிக்கம்"
ml,thousand,"ஆயிரம், வெள்ளம், பல்லாயிரம், ஆயிரத்து, சிவாயிரம்"
ml,north,"வடக்கு, வடம், வடபகுதி, வடப்பக்கம், வடநாடு"
ml,machine,"இயந்திரம், கருவி, பொறி, யானை, சாதனம்"
