lang,word_original,word_translation
ta_translit,book,"puththagam,nool,aedu,thoguppu,katturai"
ta_translit,cloud,"maegam,vaanam,mugil,thugil,vaanmathi"
ta_translit,bag,"paii,sumai,petti,pettai,koodai"
ta_translit,mouth,"vaai,puzhuvu,thuvaram,nuzhaivaayil,vaayil"
ta_translit,soil,"mann,nilam,bhoomi,manal,tharai"
ta_translit,mountain,"malai,kundru,parvatham,adukku,kodumudi"
ta_translit,cloth,"thuni,aadai,pattu,thottu,kambalam"
ta_translit,heart,"idhayam,ullam,manam,agam,ullaththil"
ta_translit,hand,"kaii,karam,valam,idam,karam"
ta_translit,day,"naall,thinam,pakal,thivasam,thinam"
ta_translit,star,"natchatthiram,vinmeen,nakshatram,nathangi,vinn"
ta_translit,spring,"ilavaenil,vasantham,thanneeroottru,urukkundru,vellam"
ta_translit,moon,"nilaa,suuriyan,chandran,nilavu,chandra"
ta_translit,wood,"maram,kattai,thadi,vaeli,kaadu"
ta_translit,village,"gramam,sittroor,kudiyiruppu,patti,oor"
ta_translit,forest,"kaadu,vanam,marangkal,pulveli,thoappu"
ta_translit,fruit,"pazham,qanii,kaai,seeththal,payaru"
ta_translit,grid,"sattagam,jaalam,valai,chakkaram,koalam"
ta_translit,song,"paadal,isai,keerthanai,kavidhai,mellisai"
ta_translit,water,"neer,thanneer,vellam,neermam,thanneermam"
ta_translit,pond,"kulam,aeri,thadaagam,ketty,serivu"
ta_translit,sand,"manal,mann,pavalam,maavu,podi"
ta_translit,river,"aaru,nadhi,calvoy,oadai,aruvi"
ta_translit,law,"sattam,vidhi,dharmam,niyathi,neethi"
ta_translit,wave,"alai,tiraippu,selappu,nadukkam,thaakkam"
ta_translit,ocean,"kadal,samudram,perungadal,alai,varunam"
ta_translit,cave,"kugai,kugaiyarai,kugaigal,kugaiyil,kugaigalil"
ta_translit,sea,"kadal,samudram,perungadal,alai,varunam"
ta_translit,lake,"aeri,kulam,thadaagam,kadal,kudatthai"
ta_translit,source,"moolam,aatharam,porul,kaaranam,padhavi"
ta_translit,fire,"neruppu,thee,akkini,kanal,sudar"
ta_translit,point,"pulli,kurippu,pakuthi,idam,munai"
ta_translit,version,"pathippu,vadivam,pathippinam,vaerupaadu,maattram"
ta_translit,ball,"pandhu,koalam,urundai,kaappu,cole"
ta_translit,painting,"ooviyam,varaipadam,padam,siddhiram,neervarnam"
ta_translit,station,"nilaiyam,santhippu,munaiyam,thadam,valaagam"
ta_translit,rice,"arisi,soaru,paththam,nell,kathir"
ta_translit,red,"sivappu,kungumam,semmai,velichcham,kembu"
ta_translit,line,"koadu,varisai,paathai,koadugal,oottam"
ta_translit,net,"valai,nett,jaalam,pinnal,porutkayiru"
ta_translit,flower,"puu,malar,arumbu,naruvi,podhumbar"
ta_translit,tea,"theneer,thaeyilai,theneer,kaapi,paanam"
ta_translit,foot,"kaall,paatham,paatham,kazhal,addii"
ta_translit,gold,"thangam,ponn,ponn,kanagam,suvarnam"
ta_translit,door,"kadhavu,vaayil,paathai,nuzhaivaayil,vaasal"
ta_translit,snow,"panii,mazhaippani,panithuli,sazhi,panippozhivu"
ta_translit,horse,"kudhirai,veeran,kaalai,maadu,ballan"
ta_translit,one,"ondru,oru,muthal,muthan,thanii"
ta_translit,two,"irandu,rendu,thottu,iru,randu"
