lang,word_original,word_translation
ml,book,"పుస్తకం, గ్రంథం, పోథం, నూలు, రచన"
ml,cloud,"మేఘం, అభ్రం, జలావర్తం, వాతావరణం, మేఘావృతం"
ml,bag,"సంచి, పైట, పెట్టె, కంపార్ట్మెంట్, సంచులు"
ml,mouth,"నోరు, నోటి, ముఖం, వాక్కు, పెదవి"
ml,soil,"నేల, మట్టి, భూమి, పొడి, మాగడం"
ml,mountain,"పర్వతం, కొండ, శిఖరం, ఆలయం, అడవి"
ml,cloth,"బట్ట, వస్త్రం, కంపు, కప్పు, వస్త్రము"
ml,heart,"హృదయం, మనసు, గుండె, హృదయకవచం, మనోవేగం"
ml,hand,"చేతి, పంజా, కరము, హస్తము, పాణి"
ml,day,"రోజు, దినము, పగలు, దివసము, వెలుగు"
ml,star,"నక్షత్రం, తార, ప్రముఖుడు, కళాకారుడు, నటుడు"
ml,spring,"వసంతం, పుష్పించు, పూయు, చిగురించు, పొదరిల్లు"
ml,moon,"చంద్రుడు, నెల, ఇంద్రుడు, శశి, నిశాకరుడు"
ml,wood,"కలప, చెకు, దారువు, కట్టె, చెండు"
ml,village,"గ్రామం, పల్లె, ఊరు, జనపదం, గ్రామకం"
ml,forest,"అడవి, వనము, అరణ్యము, కాననము, జంగిల్"
ml,fruit,"పండు, ఫలము, కాయ, పళము, ఫలం"
ml,grid,"తారాగణం, జాలకం, వడపోగు, చతురస్రం, నిర్మాణం"
ml,song,"పాట, గీతం, గానం, కీర్తన, రాగం"
ml,water,"నీరు, జలం, సలిలం, ఉదకం, జలము"
ml,pond,"చెరువు, కుంట, కలవ, జలాశయం, సరస్సు"
ml,sand,"మరిక, బంకమట్టి, ఇసుక, గజని, మెత్తమట్టి"
ml,river,"నది, సరిత, జలధి, నీరు, ధార"
ml,law,"చట్టం, న్యాయం, ధర్మం, నీతి, శాసనం"
ml,wave,"తరంగం, అల, కళ్ళ, నడక, సంచలనం"
ml,ocean,"సముద్రం, కడలి, జలధి, సాగరం, పెద్దసముద్రం"
ml,cave,"గుహ, గుహా, ఆవరణం, గుహాశయం, నివాసం"
ml,sea,"సముద్రం, కడలి, సాగరం, జలధి, పెనుమటి"
ml,lake,"సరస్సు, చెరువు, కొలను, జలాశయం, సముద్రం"
ml,source,"మూలం, జనకం, ఆధారం, ఉత్పత్తి, అసలు"
ml,fire,"అగ్ని, నిప్పు, జ్వాల, మంట, శిఖ"
ml,point,"బిందువు, స్థానం, స్థలం, అంశం, ముఖ్యాంశం"
ml,version,"వెర్షన్, రూపం, సంస్కరణ, ముద్రణ, సంచిక"
ml,ball,"బంతి, గోళం, పండిక, గుండు, ఆటబంతి"
ml,painting,"చిత్రం, వర్ణచిత్రం, చిత్రలేఖనం, నాట్యం, అలంకరణ"
ml,station,"స్టేషన్, కేంద్రం, స్థావరం, డిపో, ముకాము"
ml,rice,"బియ్యం, అన్నం, ధాన్యం, వరి, అక్షతలు"
ml,red,"ఎరుపు, రక్తవర్ణం, కెంపు, రక్తం, ధైర్యం"
ml,line,"రేఖ, గీత, వరుస, పంక్తి, సరి"
ml,net,"వల, జాలం, నెట్, తీగ, జలం"
ml,flower,"పువ్వు, పూవు, మల్లి, మల్లె, పుష్పం"
ml,tea,"టీ, చాయ్, కాఫీ, కప్పు, పానీయం"
ml,foot,"పాదం, కాలు, పాదము, అడుగు, పాదములు"
