gu_devnagari_it_ml_devnagari_it_ta_devnagari_it_te_devnagari_it_ml_it,gu_devnagari_it_ml_it,hi_translit_it_ml_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_hi_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_ml_it,hi_translit_it_hi_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_hi_it,hi_it_ml_it,hi_it_ml_it_ta_it_te_it_gu_it_ml_it
0.05054,0.1278,0.2013,0.1825,0.1974,0.07806,0.3572,0.3342,0.1807,0.0459
0.05063,0.1266,0.2013,0.1825,0.1976,0.07794,0.3577,0.3345,0.1842,0.04657
0.05057,0.1256,0.1997,0.1824,0.1976,0.07794,0.3574,0.3347,0.1831,0.04865
0.04947,0.1241,0.2004,0.183,0.1986,0.0781,0.3567,0.3337,0.179,0.04825
0.04938,0.1234,0.2004,0.1831,0.1985,0.07794,0.357,0.3342,0.1777,0.04837
0.04843,0.1172,0.2007,0.1818,0.197,0.0774,0.3567,0.3342,0.1752,0.04773
0.0482,0.11664,0.2002,0.1812,0.1967,0.07715,0.3562,0.3335,0.1736,0.04755
0.0464,0.1134,0.2006,0.179,0.1956,0.076,0.3567,0.335,0.1709,0.04517
0.0444,0.1046,0.1967,0.1765,0.1945,0.0733,0.35,0.3323,0.1616,0.04337
0.04373,0.1028,0.1941,0.1752,0.193,0.07245,0.3499,0.3323,0.1597,0.0427
0.0411,0.0954,0.1895,0.1716,0.191,0.07104,0.343,0.3281,0.1536,0.03964
0.03775,0.0818,0.1677,0.1534,0.1716,0.0629,0.3276,0.3147,0.1276,0.03238
0.03497,0.0741,0.1554,0.1448,0.1637,0.05823,0.3184,0.3074,0.1148,0.03008
0.032,0.0658,0.141,0.1346,0.1534,0.05228,0.2935,0.283,0.1035,0.02777
0.0292,0.05573,0.11707,0.1103,0.1266,0.04587,0.2732,0.2659,0.0833,0.02406
0.02567,0.0469,0.09576,0.0931,0.10614,0.03802,0.25,0.2434,0.0664,0.02217
0.0197,0.03485,0.063,0.05725,0.06616,0.03026,0.1898,0.1719,0.04498,0.01822
0.01987,0.0361,0.064,0.05566,0.0643,0.0305,0.1718,0.1396,0.04688,0.01814
0.01566,0.02596,0.03824,0.0285,0.03035,0.01965,0.0718,0.04672,0.03137,0.01602
0.01363,0.01726,0.02016,0.01682,0.01778,0.01564,0.01294,0.009995,0.01884,0.015
0.01341,0.01605,0.01822,0.01588,0.01668,0.01529,0.01032,0.00828,0.01784,0.01497
0.01303,0.01363,0.01483,0.01453,0.01447,0.01436,0.00535,0.005177,0.01522,0.01473
0.01301,0.01329,0.01465,0.01444,0.01428,0.014275,0.00519,0.005085,0.01505,0.01473
0.013,0.0132,0.01461,0.01444,0.01424,0.01424,0.005173,0.005096,0.015,0.014725
0.012985,0.01313,0.01461,0.014496,0.01422,0.01421,0.005165,0.005104,0.0149,0.01471
0.01296,0.01305,0.0145,0.014465,0.01419,0.01417,0.005096,0.005066,0.014915,0.014755
0.01295,0.01299,0.01439,0.01442,0.01413,0.01414,0.005016,0.004997,0.01483,0.014755
0.01294,0.01299,0.01447,0.01451,0.01411,0.014114,0.005013,0.00499,0.01483,0.014755
0.01294,0.01299,0.01447,0.01451,0.01411,0.01411,0.005028,0.005013,0.014824,0.01475
0.01294,0.01299,0.01448,0.01452,0.0141,0.01411,0.005028,0.005016,0.014824,0.01475
0.01295,0.01299,0.01449,0.01453,0.01411,0.014114,0.00505,0.00502,0.01482,0.014755
0.01295,0.012985,0.01447,0.01453,0.0141,0.014114,0.00505,0.00503,0.01481,0.01475
0.01294,0.012985,0.014465,0.01452,0.01409,0.01411,0.005043,0.005028,0.01481,0.01475
0.01294,0.012985,0.014465,0.01451,0.0141,0.01411,0.005028,0.005013,0.0148,0.01475
0.01295,0.01299,0.01447,0.0145,0.01409,0.01411,0.005028,0.005005,0.0148,0.01475
0.01295,0.012985,0.014465,0.01451,0.01409,0.01411,0.005047,0.005035,0.01479,0.014755
0.01295,0.012985,0.01448,0.014496,0.01409,0.0141,0.005043,0.005028,0.01478,0.01475
0.01295,0.01299,0.01449,0.0145,0.01409,0.01409,0.00504,0.00502,0.0148,0.01474
0.01294,0.01297,0.01446,0.01446,0.01407,0.014084,0.005016,0.005,0.01477,0.01472
0.01292,0.01292,0.01442,0.01442,0.01406,0.01406,0.004982,0.004982,0.014694,0.014694
