gu_devnagari_it_ml_devnagari_it_ta_devnagari_it_te_devnagari_it_ml_it,gu_devnagari_it_ml_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,hi_translit_it_ml_it,ml_translit_it_hi_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_ml_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_hi_it,hi_translit_it_hi_it,hi_it_ml_it_ta_it_te_it_gu_it_ml_it,hi_it_ml_it
0.1708,0.3313,0.2563,0.2754,0.2644,0.1361,0.288,0.3044,0.207,0.361
0.1703,0.3293,0.2566,0.2754,0.2637,0.1351,0.289,0.3057,0.2062,0.3591
0.1703,0.3293,0.2566,0.2754,0.2637,0.1351,0.289,0.3057,0.2062,0.3586
0.1715,0.3274,0.2578,0.2734,0.265,0.1338,0.289,0.3037,0.2039,0.3503
0.1709,0.3276,0.258,0.2732,0.265,0.1334,0.2893,0.3037,0.203,0.3499
0.1653,0.3235,0.2566,0.2698,0.2634,0.131,0.2842,0.294,0.1986,0.3386
0.1652,0.3215,0.258,0.266,0.2642,0.1284,0.284,0.2903,0.1976,0.33
0.1619,0.3179,0.2554,0.2622,0.2607,0.1252,0.2822,0.2878,0.1946,0.3232
0.1566,0.3071,0.2505,0.2542,0.254,0.1153,0.2737,0.277,0.1794,0.3013
0.1553,0.3054,0.249,0.2524,0.2517,0.11395,0.2695,0.273,0.1777,0.299
0.1482,0.295,0.2394,0.2372,0.2421,0.1066,0.2668,0.268,0.1699,0.282
0.1378,0.2744,0.2236,0.2057,0.2266,0.09045,0.2479,0.2424,0.1473,0.2344
0.1348,0.2678,0.2191,0.1979,0.2225,0.0867,0.2477,0.24,0.1428,0.2263
0.10876,0.2095,0.17,0.1396,0.1727,0.0598,0.2012,0.1802,0.1078,0.1619
0.09326,0.1908,0.1444,0.1208,0.149,0.0521,0.1647,0.1549,0.09296,0.1486
0.0734,0.1615,0.11725,0.1005,0.1229,0.0426,0.12244,0.1192,0.06995,0.123
0.05032,0.1175,0.0728,0.07367,0.07916,0.03093,0.075,0.0891,0.0454,0.0893
0.0401,0.0884,0.05524,0.05624,0.05878,0.02605,0.04773,0.0581,0.0375,0.0733
0.02219,0.04117,0.03015,0.03117,0.02974,0.01776,0.02008,0.0267,0.02115,0.0396
0.01747,0.02962,0.0211,0.02309,0.02155,0.0156,0.01495,0.01903,0.01656,0.03156
0.012054,0.015175,0.01391,0.01453,0.01253,0.01153,0.011604,0.01265,0.01282,0.01637
0.01144,0.011925,0.0127,0.0127,0.011406,0.0112,0.01155,0.011604,0.012375,0.01277
0.01136,0.01158,0.01262,0.01262,0.011314,0.011154,0.01152,0.01158,0.01234,0.01259
0.011314,0.011444,0.01248,0.0125,0.01119,0.01112,0.011475,0.01152,0.012276,0.01247
0.01126,0.011284,0.01239,0.01239,0.0111,0.011086,0.0116,0.01161,0.01229,0.012314
0.011284,0.01128,0.012375,0.01235,0.01109,0.011086,0.01162,0.011604,0.012276,0.012245
0.011284,0.011284,0.012375,0.01235,0.011086,0.01107,0.01163,0.0116,0.01226,0.01224
0.01128,0.01128,0.01238,0.01236,0.01109,0.01108,0.011635,0.01161,0.01226,0.01223
0.011284,0.01128,0.01238,0.01236,0.011086,0.01108,0.011604,0.0116,0.01227,0.012245
0.011284,0.01128,0.01239,0.012375,0.01109,0.01108,0.01162,0.011635,0.01226,0.01223
0.01128,0.01128,0.012375,0.01237,0.01108,0.01107,0.01159,0.0116,0.01225,0.01222
0.01127,0.01127,0.012375,0.012375,0.01106,0.01106,0.01158,0.01158,0.01222,0.01222
