hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,hi_translit_it_ml_it,ml_translit_it_hi_translit_it_ta_translit_it_te_translit_it_gu_translit_it_ml_it,ml_translit_it_ml_it,hi_translit_it_ml_translit_it_ta_translit_it_te_translit_it_gu_translit_it_hi_it,hi_translit_it_hi_it,hi_it_ml_it_ta_it_te_it_gu_it_ml_it,hi_it_ml_it,gu_devnagari_it_ml_devnagari_it_ta_devnagari_it_te_devnagari_it_ml_it,gu_devnagari_it_ml_it
0.719,0.6343,0.7334,0.4033,0.775,0.727,0.8813,0.7983,0.3425,0.4822
0.719,0.6333,0.7334,0.4036,0.777,0.7266,0.8823,0.798,0.344,0.4814
0.7188,0.633,0.7344,0.403,0.7773,0.7256,0.8823,0.7993,0.3442,0.4802
0.7173,0.6245,0.7363,0.4014,0.777,0.7197,0.8823,0.7935,0.343,0.47
0.7173,0.625,0.7363,0.4011,0.777,0.7197,0.8823,0.793,0.3433,0.4697
0.717,0.6245,0.7363,0.4011,0.777,0.719,0.882,0.791,0.341,0.4688
0.6987,0.605,0.731,0.3926,0.771,0.712,0.8735,0.7544,0.3313,0.4565
0.68,0.5884,0.714,0.3818,0.762,0.7046,0.866,0.7393,0.325,0.4365
0.6157,0.4985,0.6772,0.33,0.7476,0.674,0.8105,0.657,0.2854,0.3772
0.615,0.498,0.6772,0.3293,0.7476,0.674,0.8096,0.6567,0.2854,0.3767
0.5806,0.466,0.632,0.2986,0.728,0.647,0.7485,0.588,0.2644,0.344
0.567,0.462,0.6216,0.2922,0.719,0.642,0.7334,0.5806,0.2568,0.3413
0.558,0.456,0.6167,0.2903,0.7144,0.639,0.718,0.575,0.252,0.34
0.5503,0.4497,0.6104,0.2861,0.7114,0.634,0.691,0.5625,0.2482,0.336
0.4539,0.3835,0.4717,0.2355,0.6333,0.567,0.571,0.4841,0.2013,0.2825
0.4458,0.38,0.4626,0.2335,0.6133,0.5474,0.562,0.4724,0.1927,0.2798
0.3801,0.329,0.374,0.2136,0.563,0.511,0.4573,0.393,0.1676,0.2277
0.364,0.3079,0.35,0.2051,0.5425,0.4995,0.4407,0.3752,0.1614,0.2139
0.2798,0.2347,0.2764,0.1663,0.443,0.428,0.3347,0.283,0.134,0.1846
0.2195,0.1832,0.213,0.1409,0.385,0.3835,0.2715,0.2286,0.097,0.142
0.2019,0.1757,0.1803,0.1316,0.3484,0.3628,0.2397,0.2046,0.07654,0.1247
0.1758,0.1539,0.1569,0.1108,0.2842,0.3347,0.2078,0.1826,0.06415,0.105
0.1711,0.1499,0.148,0.1063,0.2705,0.3154,0.1915,0.1704,0.06052,0.10004
0.1136,0.11115,0.1166,0.0818,0.1912,0.2207,0.1057,0.11896,0.02992,0.06122
0.09735,0.09955,0.1164,0.0815,0.1785,0.207,0.10004,0.11304,0.02455,0.05258
0.00917,0.01376,0.0205,0.01211,0.00817,0.00951,0.014305,0.02211,0.0004518,0.0007124
9.847e-05,0.0002187,0.004944,0.0051,0.004322,0.003326,0.001093,0.001164,0.0002226,0.0002575
8.46e-05,0.0001322,0.00437,0.005043,0.004093,0.002686,0.0003421,0.0002185,0.0002165,0.000236
6.527e-05,7.963e-05,6.36e-05,0.001699,8.965e-05,7.16e-05,6.6e-05,8.73e-05,0.0001856,0.0001978
6.497e-05,7.4e-05,2.766e-05,0.0001444,5e-05,5.23e-05,5.97e-05,7.445e-05,0.0001917,0.0001981
5.686e-05,6.15e-05,2.07e-05,3.105e-05,4.29e-05,4.46e-05,5.317e-05,6.43e-05,0.0001858,0.000188
6.443e-05,6.855e-05,1.77e-05,1.806e-05,3.815e-05,3.87e-05,5.67e-05,6.16e-05,0.0001945,0.0001988
6.133e-05,6.473e-05,1.65e-05,1.645e-05,3.666e-05,3.7e-05,6.18e-05,6.765e-05,0.0001951,0.0001967
5.96e-05,6.145e-05,1.71e-05,1.7e-05,3.55e-05,3.69e-05,4.846e-05,4.96e-05,0.0001973,0.0001982
6.026e-05,6.2e-05,1.72e-05,1.7e-05,3.55e-05,3.636e-05,4.905e-05,4.98e-05,0.0001975,0.0001994
5.98e-05,6.1e-05,1.76e-05,1.74e-05,3.56e-05,3.65e-05,4.894e-05,4.995e-05,0.0001966,0.0001966
6.06e-05,6.12e-05,1.73e-05,1.71e-05,3.53e-05,3.636e-05,4.87e-05,4.977e-05,0.0001949,0.0001962
6.01e-05,6.115e-05,1.734e-05,1.717e-05,3.53e-05,3.58e-05,4.9e-05,5.01e-05,0.0001938,0.0001922
5.955e-05,5.937e-05,1.73e-05,1.705e-05,3.53e-05,3.576e-05,4.894e-05,4.98e-05,0.0001955,0.0001925
6.09e-05,6.14e-05,1.73e-05,1.7e-05,3.517e-05,3.546e-05,4.99e-05,5.05e-05,0.0001963,0.0001986
6.336e-05,6.33e-05,1.74e-05,1.717e-05,3.505e-05,3.52e-05,5.06e-05,5.01e-05,0.0001961,0.0001984
6.515e-05,6.515e-05,1.734e-05,1.734e-05,3.505e-05,3.505e-05,5.084e-05,5.084e-05,0.0001981,0.0001981
