lang,word_original,word_translation
ml,book,"പുസ്തകം, ഗ്രന്ഥം, പാഠപുസ്തകം, നോൾ, ഗ്രംഥം"
ml,cloud,"മേഘം, അഭ്രം, ജലാവി, വാതില്യം, നീഹാരിക"
ml,bag,"സഞ്ചി, പെട്ടി, കിട്ടി, പുത്ത, പൈക്ക്"
ml,mouth,"വായ, മുഖം, താടി, ചുണ്ട്"
ml,soil,"മണ്ണ്, പൊടി, ഭൂമി, പുഴുക്ക, തരിസ്"
ml,mountain,"കൊടുമുടി, മല, പർവതം, കുന്ന്, പർവതം"
ml,cloth,"തുണി, വസ്ത്രം, ആടൈ, പട്ട്, കാപ്രി"
ml,heart,"ഹൃദയം, ഹൃദയ, മനസ്സ്, ചിത്തം, മനം"
ml,hand,"കൈ, കരം, വല, അസ്തം, പാണി"
ml,day,"ദിനം, പകൽ, ദിവസം, നാൾ, തിങ്കൾ"
ml,star,"നക്ഷത്രം, താരം, പ്രകാശം, ജ്യോതിർ, നക്ഷത്രം"
ml,spring,"വസന്തം, മുതൽക്കൂട്, വസന്തകാലം, പുഷ്പം, സ്പ്രിംഗ്"
ml,moon,"ചന്ദ്രൻ, തിങ്കൾ, നിലാവ്, ചാന്ദ്രിക, നിലവ്"
ml,wood,"മരം, തടി, കട്ടை, വൻമരം, തിട്ട്"
ml,village,"ഗ്രാമം, പട്ടണം, നഗരം, പഞ്ചായത്ത്, ദേശം"
ml,forest,"കാട്, വനം, അരണ്യം, തടവ്, പന്തലം"
ml,fruit,"പഴം, ഫലം, കായ, പൂവ, ചാറ"
ml,grid,"ജാലകം, ശൃംഖല, ഗ്രിഡ്, ജാലിക, വലയം"
ml,song,"ഗാനം, പാട്ട്, സംഗീതം, രാഗം, ഭജനം"
ml,water,"ജലം, വെള്ളം, നീര്, പാനി, തണ്ണീര്"
ml,pond,"കുളം, തടാകം, ചെറുകുളം, കയം, ജലാശയം"
ml,sand,"മണ്ണ്, പൊടി, ചരൽ, മരംപൊടി, പലുകയ്"
ml,river,"നദി, അരുവി, തോട്, കായൽ, ജലം"
ml,law,"നിയമം, ചട്ടം, ക്രമം, വിധി, ശാസനം"
ml,wave,"തരംഗം, കാറ്റ്, അല, തിര, ചലനം"
ml,ocean,"സമുദ്രം, കടൽ, പെരുംകടൽ, കടലാഴം, ജലധി"
ml,cave,"ഗുഹ, കുട്ടി, കോവണം, പാതാളം"
ml,sea,"കടൽ, സമുദ്രം, പെരുംകടൽ, വാരി, ജലധി"
ml,lake,"തടാകം, കുളം, സരസ്സ്, ജലാശയം, കായൽ"
ml,source,"ഉറവിടം, സ്രോതസ്സ്, ആധാരം, പ്രതിപാദ്യം, മൂലം"
ml,fire,"തീ, അഗ്നി, ജ്വലനം, വാൽക്കരണം, അനലം"
ml,point,"ബിന്ദു, സ്ഥാനം, കോണ്, പായിന്റ്, മുഖം"
ml,version,"പതിപ്പ്, വേര്ഷൻ, രൂപം, മോഡൽ, അവതരണം"
ml,ball,"പന്ത്, ഗോളം, ഉരുണ്ട, ഗോളകം"
ml,painting,"ചിത്രം, എഴുത്ത്, വര, തോറ്റം, രചന"
ml,station,"സ്റ്റേഷൻ, നിലയം, സ്ഥലം, ഇടം, കേന്ദ്രം"
ml,rice,"അരി, ചോറ്, നെല്ല്, പച്ചരി, ധാന്യം"
ml,red,"ചുവപ്പ്, രക്ത, രോഷ, തിക്തം, രാക്തം"
ml,line,"രേഖ, വര, പങ്ക്, കോട്, നിര"
ml,net,"വല, ജാലം, വലയം, ജാലകം, നെറ്റ്"
ml,flower,"പൂവ്, പുഷ്പം, നറ്റം, പൊക്കം, ആരം"
ml,tea,"ചായ, തേയില, കപ്പ്, പാനിയം, മധുരപാനിയം"
ml,foot,"കാൽ, പാദം, പാദസം, അടി, ചരണം"
ml,gold,"സ്വർണ്ണം, പൊന്ന്, സോനാ, കനകം, പസിയോൻ"
ml,door,"വാതിൽ, കവാടം, ജാലകം, പടിപ്പുര, പ്രവേശനകവാടം"
ml,snow,"മഞ്ഞ്, തുഷാരം, ഹിമം, അരുവി, മണിമഞ്ഞ്"
ml,horse,"കുതിര, കുതിരപ്പക്ഷി, അശ്വം, വാഹനം, കൂടാരം"
ml,one,"ഒന്ന്, ഏകം, ഒരു, ഏക, തനി"
ml,two,"രണ്ട്, ഇരണ്ട്, ദ്വി, ജോടി"
ml,three,"മൂന്ന്, ത്രയം, മുച്ചായം, തിനാൽ"
ml,four,"നാല്, ചതുര്, ചതുരം, നാലുക, ചതുര്ന്നം"
ml,five,"അഞ്ച്, പഞ്ച, പാഞ്ച്"
ml,six,"ആറ്"
ml,seven,"ഏഴ്, സപ്തം"
ml,eight,"എട്ട്, അഷ്ട"
